ad_id,ad_tone
x_515530930471753,Promote
x_912252076827619,Promote
x_505828818082218,Promote
x_1077028492996770,Promote
x_5864305573626917,Promote
x_1637103576746798,Promote
x_523125622608094,Promote
x_484702920386495,Promote
x_1160163231593618,Promote
x_600637845232852,Promote
x_434464572179233,Promote
x_1116170202401920,Promote
x_456041686619182,Promote
x_1173371200259896,Promote
x_1400415747034793,Promote
x_3508157516137357,Promote
x_666270045011305,Promote
x_631706861961725,Promote
x_881504522819742,Contrast
x_791970282093250,Promote
x_793115751802963,Promote
x_1223716984841971,Promote
x_1316589879150762,Promote
x_1099095124332110,Promote
x_826525278767344,Promote
x_392520312976668,Promote
x_466456602163900,Promote
x_414624770886663,Promote
x_433463418723424,Promote
x_528415605314171,Promote
x_620408886288573,Promote
x_5451138291622297,Promote
x_469127455266725,Promote
x_648746686656659,Promote
x_420034963654747,Promote
x_484817067010211,Promote
x_5547326112040848,Promote
x_3432619573685538,Promote
x_642142924044710,Promote
x_510286354297695,Promote
x_644859116978105,Promote
x_1181508222716853,Promote
x_578573524040687,Promote
x_777373913561190,Promote
x_1271908600301962,Promote
x_638618514495596,Promote
x_1696828064023237,Contrast
x_3029193650558895,Promote
x_391938159807330,Promote
x_330477152597330,Promote
x_5003118879792260,Promote
x_621620172670983,Promote
x_768334561122954,Promote
x_850014073035811,Promote
x_644486613972492,Promote
x_650090303379680,Promote
x_752468202491127,Promote
x_1117998035511066,Promote
x_385377796951408,Promote
x_820677152626549,Promote
x_774246380301691,Promote
x_590848206106204,Promote
x_1989673307895608,Promote
x_2449300115219716,Contrast
x_1366265727201407,Contrast
x_796482791463563,Promote
x_484229517099855,Promote
x_1231181134103057,Promote
x_865377764633375,Promote
x_847754399572584,Promote
x_795865291647688,Promote
x_2164111237121011,Promote
x_985657762821526,Promote
x_2899714670336509,Promote
x_806142463961423,Promote
x_641535381025112,Promote
x_526561346000406,Contrast
x_439309034940786,Promote
x_2024328864623216,Contrast
x_1099092510810616,Contrast
x_3344372925819624,Promote
x_1255267591874465,Attack
x_3361479604119665,Attack
x_1559362197813298,Promote
x_3212433729071842,Promote
x_3184137491809155,Promote
x_454035780150371,Contrast
x_2613706225432499,Promote
x_317406120496811,Promote
x_5494772997305420,Promote
x_1182470562692771,Promote
x_638673451231507,Promote
x_3346314592279026,Promote
x_477789517664457,Promote
x_656563652761773,Promote
x_1160487001557851,Contrast
x_1209504883240769,Promote
x_2105063596367885,Promote
x_676596050434646,Promote
x_651008183314003,Promote
x_1195103171105703,Promote
x_1065422030815128,Promote
x_1007674747300679,Promote
x_488522489853052,Promote
x_1349320692478150,Promote
x_1177795826450634,Promote
x_1248200459057450,Promote
x_632444051909502,Promote
x_955095872115671,Promote
x_8300305176707836,Promote
x_1167100087557129,Promote
x_853669836012980,Promote
x_3262828857317751,Promote
x_658199436030283,Promote
x_796258471670124,Promote
x_1250168482493074,Promote
x_5682400118472444,Promote
x_396484845903420,Promote
x_844571090219670,Promote
x_795139958252653,Promote
x_903964333900438,Promote
x_1509424109500328,Promote
x_914261502888524,Promote
x_516326273660662,Promote
x_774714106946026,Promote
x_409724541343921,Promote
x_904966070480156,Promote
x_837446147450761,Promote
x_3704196803136465,Promote
x_1548328118933930,Promote
x_1300857903787961,Promote
x_1595148670903107,Promote
x_780059503094401,Promote
x_633336351609305,Promote
x_1253547755214672,Promote
x_694523165608290,Promote
x_2322422881252140,Promote
x_513701980616706,Promote
x_786694379078021,Promote
x_511182861021267,Promote
x_2284392441725049,Promote
x_1131178900832614,Promote
x_1234972480694394,Promote
x_1301162463963440,Promote
x_451632493746542,Promote
x_856048328726728,Promote
x_386542766932474,Promote
x_856799025774249,Promote
x_1852198768444972,Promote
x_485087723385327,Promote
x_597906345467588,Promote
x_470256055078459,Promote
x_846338343056615,Promote
x_3422952111273476,Promote
x_1171777533413772,Promote
x_1349107039161759,Promote
x_1245245016019558,Promote
x_638443374396920,Promote
x_815999873067666,Promote
x_787549249003785,Promote
x_549772797148665,Promote
x_858845368607766,Promote
x_520851503189107,Promote
x_653445759557607,Promote
x_796635614887702,Promote
x_1245694526270494,Promote
x_484620850361481,Promote
x_5639385209441060,Promote
x_1093498508001441,Promote
x_3376028752676349,Promote
x_3446394865646793,Promote
x_471627348078288,Promote
x_629798425205312,Promote
x_1786879294982973,Promote
x_1732496933786842,Promote
x_464893692108132,Promote
x_1383901882379491,Promote
x_1064053930903453,Promote
x_1259433874907261,Promote
x_427548859449855,Promote
x_796835934704010,Promote
x_575407734361538,Promote
x_607598734490651,Promote
x_517797136420719,Promote
x_478402850885747,Promote
x_807103680745093,Promote
x_516605003228658,Promote
x_1179555749292873,Promote
x_1143055076326016,Promote
x_394506989559654,Promote
x_834742297880387,Promote
x_3363527047302154,Promote
x_832320981239516,Promote
x_499898751770749,Promote
x_646872086985193,Promote
x_2115254355348173,Promote
x_5866786446673750,Promote
x_800194771186382,Promote
x_1097259187844749,Promote
x_665969928143114,Promote
x_3319536414998807,Promote
x_3386015271669459,Promote
x_480963590656260,Promote
x_1168460403881999,Promote
x_1087302011981488,Promote
x_461023675827628,Promote
x_468231455331735,Promote
x_846939116492799,Promote
x_426755356249659,Promote
x_462025982562735,Promote
x_1149166475954108,Promote
x_423950003214571,Promote
x_450454013604913,Promote
x_1307443349792317,Promote
x_792942181920156,Promote
x_5303944309714603,Promote
x_610131127568015,Promote
x_1113347209313354,Promote
x_1434739027038982,Promote
x_1067114510653842,Promote
x_611094347426286,Promote
x_2043051705895152,Promote
x_504124524571428,Promote
x_523348386284019,Promote
x_3439967529614164,Promote
x_1045980072752307,Promote
x_1479846202516129,Promote
x_688155975523988,Promote
x_1349248452504125,Promote
x_418502323575604,Promote
x_624589556056893,Promote
x_1376109482792832,Promote
x_1488066424972737,Promote
x_1657115534682194,Promote
x_2090195764521634,Promote
x_790357635554187,Promote
x_5874469869252167,Promote
x_3294101997572869,Promote
x_3369573389941421,Promote
x_806266290625169,Promote
x_420266680188416,Promote
x_1289977445153821,Promote
x_814745386321089,Promote
x_828339068304864,Promote
x_3203736903290491,Promote
x_3964991833726413,Promote
x_614241156837243,Promote
x_1158959831636674,Promote
x_471313778298601,Promote
x_788500385784801,Promote
x_455760383050442,Promote
x_2867815860016299,Promote
x_643485180520912,Promote
x_5807475062616801,Promote
x_617915669828862,Promote
x_1486484348519348,Promote
x_5652443138127752,Promote
x_3243533269308537,Promote
x_467505285346931,Promote
x_8880783535281184,Promote
x_425115573086233,Promote
x_5492436490843100,Promote
x_1800706453598605,Promote
x_1478895549296351,Promote
x_627311252109206,Promote
x_1079238296125672,Promote
x_2081577102030279,Promote
x_5574861885938023,Promote
x_840692614013580,Promote
x_462590735841500,Promote
x_1233994250513669,Promote
x_1270684920357129,Promote
x_786221399302299,Promote
x_580476710531563,Promote
x_622373459538724,Promote
x_1264362717731074,Promote
x_553433319921130,Promote
x_419625986922048,Promote
x_1149057379025900,Promote
x_1569263890169603,Promote
x_881964286514588,Promote
x_496236932058283,Promote
x_634753694721466,Promote
x_614128647075040,Promote
x_800848451230736,Promote
x_474466881279224,Promote
x_623501149218936,Promote
x_1826551777682801,Promote
x_568259735099017,Promote
x_1243627146491584,Promote
x_1509929692857614,Promote
x_639719627765829,Promote
x_646861580145037,Promote
x_814633316337927,Promote
x_659783668693646,Promote
x_403944985250222,Promote
x_862162508102930,Promote
x_640242497537477,Promote
x_809620557144406,Promote
x_1186003738614226,Promote
x_1738365803192568,Promote
x_420658550179920,Promote
x_3361148554209335,Promote
x_778644203435400,Promote
x_1829776094024908,Promote
x_331058595881111,Promote
x_872969450353856,Promote
x_1044990812853313,Promote
x_791760728765686,Promote
x_502112747982656,Promote
x_393315926318867,Promote
x_646070257150707,Promote
x_484286756938369,Promote
x_807801533700921,Promote
x_2307883542721154,Promote
x_3513518755604576,Promote
x_783502892864824,Promote
x_1242550693260201,Promote
x_478408330831940,Promote
x_670149034063237,Promote
x_778459936755872,Promote
x_2223796631296195,Promote
x_1037900603539049,Promote
x_672575160437718,Promote
x_503212944478660,Promote
x_830543237972197,Promote
x_1989670307897791,Promote
x_1209382779840918,Promote
x_1118693299024382,Promote
x_1564168797319530,Promote
x_2347782442044666,Promote
x_3118495205127645,Promote
x_1879108655765886,Promote
x_3269765083284352,Promote
x_2974702369502634,Promote
x_5744924562217552,Promote
x_496523075275590,Promote
x_797071784669916,Promote
x_828819798291150,Promote
x_761522944921283,Promote
x_856305305284900,Promote
x_3582640988629936,Promote
x_469909138356311,Promote
x_652897989345562,Promote
x_828770161591173,Promote
x_5834512379932552,Promote
x_764931814796861,Promote
x_1547862282336543,Promote
x_522775532945014,Promote
x_426759342891733,Promote
x_821411589202875,Promote
x_617668903149167,Promote
x_331314302509763,Promote
x_369512512062286,Promote
x_433274732117387,Promote
x_610082074161031,Promote
x_630155785294116,Promote
x_768388550941457,Promote
x_453427633347329,Promote
x_3365537567009124,Promote
x_5321145807921893,Promote
x_852723902527699,Attack
x_3217856695210971,Promote
x_511199587228367,Attack
x_516233190011782,Contrast
x_769871630768654,Attack
x_1196812447858967,Contrast
x_1171063917098707,Contrast
x_1291480058331358,Contrast
x_1536379726801260,Attack
x_8862903733735348,Contrast
x_391014923098897,Attack
x_539346884861177,Promote
x_1174047866655531,Promote
x_424237103116425,Contrast
x_514048050557507,Contrast
x_2923878251241917,Contrast
x_813661489677523,Attack
x_1499977003839624,Promote
x_1104959203500384,Contrast
x_2908382749455587,Contrast
x_807696910274655,Promote
x_2956729514630298,Attack
x_2909109066064676,Promote
x_3918524601706502,Attack
x_637704038083901,Contrast
x_679489713262104,Contrast
x_373165638285666,Contrast
x_1545452055876236,Contrast
x_1127152084675334,Contrast
x_779771636563090,Contrast
x_752464595832226,Contrast
x_814854149833073,Contrast
x_649046499985686,Contrast
x_423170946598869,Contrast
x_1189045955288338,Contrast
x_1243981832813655,Contrast
x_2335198783312284,Contrast
x_5392872757433239,Contrast
x_731557147911693,Contrast
x_1693792597668392,Contrast
x_369943991989172,Contrast
x_567267725149388,Contrast
x_493406266123724,Contrast
x_1051088545542173,Contrast
x_1327444997994212,Contrast
x_612842990584709,Contrast
x_929823905089021,Promote
x_524022529551708,Promote
x_647504893604472,Contrast
x_488914976616559,Contrast
x_814979452955615,Contrast
x_1181372566135882,Contrast
x_1371843230287738,Contrast
x_636835584733253,Contrast
x_1293887894722518,Contrast
x_2549580445189670,Contrast
x_5954875377890984,Contrast
x_5549080628532693,Contrast
x_833080377880157,Contrast
x_1587677171702801,Contrast
x_638899447699819,Contrast
x_1048337255844896,Contrast
x_477959010974279,Contrast
x_6256396104373991,Promote
x_1174646366571053,Contrast
x_457326672946914,Attack
x_688753665681759,Attack
x_651260859941227,Attack
x_2199207910250343,Attack
x_666673308134966,Contrast
x_490798316441050,Promote
x_715147196163467,Attack
x_1167956324100284,Promote
x_833463331410338,Contrast
x_2359239010897416,Attack
x_1099523254099224,Attack
x_819914379317484,Attack
x_604468044788834,Attack
x_809825956936028,Contrast
x_1053216605356997,Attack
x_1266816647452234,Attack
x_1141816886427748,Contrast
x_853199065702627,Attack
x_3358150314507437,Promote
x_493454652808545,Attack
x_1575818936179457,Attack
x_1520742008441146,Attack
x_2569269386548362,Contrast
x_795539311740886,Contrast
x_5951490024885644,Attack
x_1462832110892333,Attack
x_441514827918964,Promote
x_817827576192091,Attack
x_494184062770501,Contrast
x_1211183182789056,Attack
x_3275683722746288,Attack
x_791552241921898,Attack
x_1325671211539223,Attack
x_594114639133288,Contrast
x_1518618608621663,Attack
x_1153416418943414,Contrast
x_661785411996549,Attack
x_908893383410118,Attack
x_505318211513064,Attack
x_1698989397153020,Promote
x_1183550882235567,Contrast
x_438366578468983,Attack
x_522654792668502,Contrast
x_1466350583842883,Attack
x_497112915636496,Promote
x_505707168239025,Attack
x_512201567453347,Contrast
x_673446161001103,Attack
x_836927737403371,Attack
x_484682566956929,Contrast
x_857261331965573,Attack
x_1119490995626511,Attack
x_1169889990619537,Contrast
x_1527724630974458,Contrast
x_859664142113502,Contrast
x_655636876005774,Contrast
x_1364956734037581,Attack
x_641497014225386,Attack
x_661244772018831,Attack
x_1777028629344000,Attack
x_3336518443260183,Attack
x_697097284996477,Attack
x_651741159914706,Promote
x_1078561402842205,Attack
x_1528764730898630,Promote
x_1494123811011090,Attack
x_3309454032675948,Attack
x_4868263446609571,Attack
x_829617591789973,Contrast
x_1189195958335052,Promote
x_853177595681967,Promote
x_1557490411336101,Promote
x_3319350418305875,Attack
x_5569228966445746,Attack
x_673125977489663,Attack
x_488889059872142,Attack
x_3389181764649530,Attack
x_571641458052512,Attack
x_503583975021995,Attack
x_1281364102647800,Attack
x_1848090325583678,Attack
x_1525997984518203,Attack
x_651481196530471,Attack
x_2732540783546039,Attack
x_834748757719093,Attack
x_1056146881749150,Attack
x_1716020795437932,Attack
x_5574324572657142,Attack
